label,class
location feature,LocationAmenity
lodging feature,LocationAmenity
bathroom amenity,BathroomAmenity
dryer,Dryer
dryer – in building,Dryer
free dryer,Dryer
free dryer – in unit,Dryer
tumble dryer,Dryer
shower,ShowerBath
shower bath,ShowerBath
bath robes,BathRobes
hygiene products,HygieneProducts
towel,Towel
essentials - towels,Towel
bathtub,Bathtub
toilet,Toilet
toilet with grab rails,ToiletWithGrabRails
raised toilet,RaisedToilet
higher level toilet,HigherLevelToilet
balance,Balance
faucet,Tap
tap,Tap
washbasin,Sink
sink,Sink
lowered sink,LoweredSink
bidet,Bidet
hairdryer,Hairdryer
bathroom emergency cord,BathroomEmergencyCord
emergency cord in bathroom,BathroomEmergencyCord
toilet paper,ToiletPaper
shared bathroom,SharedBathroom
free toiletries,FreeToiletries
spa bath,SpaBath
spa tub,SpaBath
guest bathroom,GuestBathroom
cleaning products,CleaningProducts
soap,Soap
body soap,BodySoap
gilchrist soames  body soap,BodySoap
shower gel,ShowerGel
shampoo,Shampoo
gilchrist soames  shampoo,Shampoo
baby bath,BabyBath
hot water,HotWater
bathroom,Bathroom
en suite bathroom,EnSuiteBathroom
private bathroom,PrivateBathroom
additional toilet,AdditionalToilet
additional bathroom,AdditionalToilet
shared toilet,SharedToilet
service,Service
shoeshiner,ShoeShiner
shoeshine,ShoeShiner
fitness service,FitnessService
spa/wellness packages,FitnessService
aerobics,Aerobics
archery,Archery
horseback riding,HorsebackRiding
personal trainer,PersonalTrainer
full body massage,FullBodyMassage
foot bath,FootBath
massage,Massage
hand massage,HandMassage
neck massage,NeckMassage
head massage,HeadMassage
couples massage,CouplesMassage
back massage,BackMassage
massage chair,MassageChair
foot massage,FootMassage
fitness classes,FitnessClasses
yoga classes,YogaClasses
kids service,KidsService
service for kids,KidsService
kids' club,KidsClub
children television networks,ChildrenTelevisionNetworks
babysitting/child services,BabysittingChildServices
kid-friendly buffet,Kid-FriendlyBuffet
kid meals,KidMeals
children books and toys,ChildrenBooksAndToys
hair care,HairCare
hair styling,HairStyling
hair treatments,HairTreatments
hair colouring,HairColouring
hair cut,HairCut
amusement service,AmusementService
live music,LiveMusic
live performance,LivePerformance
walking tours,WalkingTours
themed dinner nights,ThemedDinnerNights
movie nights,MovieNights
pub crawls,PubCrawls
bar crawls,PubCrawls
fishing,Fishing
bike tours,BikeTours
bingo,Bingo
happy hour,HappyHour
tour or class about local culture,TourOrClassAboutLocalCulture
live sports events (broadcast),LiveSportsEventsBroadcast
diving,Diving
laundry service,LaundryService
laundromat nearby,LaundryService
airport shuttle,AirportShuttle
airport shuttle (additional charge),AirportShuttle
airport pick up,AirportShuttle
airport drop off,AirportShuttle
currency exchange,CurrencyExchange
room service,RoomService
concierge service,ConciergeService
24-hour front desk,24-HourFrontDesk
in-room breakfast,In-roomBreakfast
tour desk,TourDesk
canoeing,Canoeing
evening entertainment,EveningEntertainment
checkout service,CheckoutService
house keeping,HouseKeeping
cleaning,HouseKeeping
daily housekeeping,DailyHousekeeping
reception,CheckinService
checkin service,CheckinService
express check-in/check-out,ExpressCheck-InCheck-Out
private check-in/check-out,PrivateCheck-InCheck-Out
honeymoon suite,HoneymoonSuite
