class_name,parent_classes,owlready_storid
LodgingFacility,Location|Place|Feature|Thing,4735
NormAggregateRating,AggregateRating,4736
Accommodation,Accommodation,4740
Airport,Thing|CivicStructure|CivicStructure,4749
Bridge,Thing|CivicStructure|CivicStructure,4752
Canal,Thing|BodyOfWater|BodyOfWater,4754
Church,Feature|PlaceOfWorship|PlaceOfWorship,4756
Continent,Feature|Landform|Landform,4758
Country,AdministrativeArea|Feature|AdministrativeArea,4760
Hospital,Feature|EmergencyService|CivicStructure|CivicStructure,4762
Hotel,LodgingFacility|Feature,4764
LakeBodyOfWater,Feature|BodyOfWater|BodyOfWater,4766
Mountain,Feature|Landform|Landform,4768
Museum,Feature|CivicStructure|CivicStructure,4770
Park,Feature|CivicStructure|CivicStructure,4772
Restaurant,Feature|FoodEstablishment|CommonArea,4774
ShoppingCenter,Thing|LocalBusiness,4776
StadiumOrArena,Feature|SportsActivityLocation|CivicStructure|CivicStructure,4778
PerformingArtsTheater,Thing|CivicStructure|CivicStructure,4780
AdministrativeArea,Feature|TouristLocation|TouristLocation,4783
BathroomAmenity,AccommodationFeature|LocationAmenity,4786
Campground,Thing|LodgingFacility,4787
CampingPitch,CampingPitch|Accommodation,4788
EntireApartment,Apartment|EntirePlace,4789
EntireHouse,House|EntirePlace,4790
Room,Accommodation,4791
Suite,Thing|Accommodation,4792
Cemetery,Feature|CivicStructure|CivicStructure,4793
City,Feature|AdministrativeArea|AdministrativeArea,4796
Dryer,BathroomAmenity|AccommodationFeature|BathroomAmenity,4800
EntirePlace,Accommodation,4801
EntireBoat,Thing|EntirePlace,4802
EntireLoft,Thing|EntirePlace,4803
GolfCourse,Feature|SportsActivityLocation|CommonArea,4804
HighNormRating,NormAggregateRating,4806
HighRatedLF,RatedLF,4807
RatedLF,LodgingFacility,4808
House,Thing|LodgingFacility,4811
HotelRoom,Room,4812
Library,Feature|LocalBusiness,4814
LodgingDescription,CreativeWork,4816
LowNormRating,NormAggregateRating,4817
LowRatedLF,RatedLF,4818
MediumNormRating,NormAggregateRating,4819
