class_name,parent_classes,owlready_storid
LodgingFacility,Location|Feature|Place|Thing,4735
NormAggregateRating,AggregateRating,4736
Accommodation,Accommodation,4740
BathroomAmenity,AccommodationFeature|LocationAmenity,4747
CampingPitch,CampingPitch|Accommodation,4748
Campground,LodgingFacility,4749
EntireApartment,Apartment|EntirePlace,4750
EntireHouse,House|EntirePlace,4751
Room,Accommodation,4752
Suite,Accommodation,4753
Dryer,BathroomAmenity|AccommodationFeature|BathroomAmenity,4754
EntirePlace,Accommodation,4755
EntireBoat,Thing|EntirePlace,4756
EntireLoft,Thing|EntirePlace,4758
HighNormRating,NormAggregateRating,4760
HighRatedLF,RatedLF,4761
RatedLF,LodgingFacility,4762
Hotel,LodgingFacility,4763
House,LodgingFacility,4764
HotelRoom,Room,4765
LodgingDescription,CreativeWork,4767
LowNormRating,NormAggregateRating,4768
LowRatedLF,RatedLF,4769
MediumNormRating,NormAggregateRating,4770
MediumRatedLF,RatedLF,4771
NormRating,Rating,4772
TouristLocation,Place|Feature,4775
TouristDestination,Feature,4776
Landform,TouristLocation|TouristLocation,4777
Continent,Landform|Landform,4778
Mountain,Landform|Landform,4779
BodyOfWater,Landform|Landform,4780
Pond,BodyOfWater|BodyOfWater,4781
OceanBodyOfWater,BodyOfWater|BodyOfWater,4782
LakeBodyOfWater,BodyOfWater|BodyOfWater,4783
Canal,BodyOfWater|BodyOfWater,4784
Waterfall,BodyOfWater|BodyOfWater,4785
SeaBodyOfWater,BodyOfWater|BodyOfWater,4786
Reservoir,BodyOfWater|BodyOfWater,4787
RiverBodyOfWater,BodyOfWater|BodyOfWater,4788
Volcano,Landform|Landform,4789
CivicStructure,TouristLocation|TouristLocation,4790
BusStop,CivicStructure|CivicStructure,4791
StadiumOrArena,CivicStructure|SportsActivityLocation|CivicStructure,4792
PlaceOfWorship,CivicStructure|CivicStructure,4793
BuddhistTemple,PlaceOfWorship|PlaceOfWorship,4794
Synagogue,PlaceOfWorship|PlaceOfWorship,4795
Mosque,PlaceOfWorship|PlaceOfWorship,4796
HinduTemple,PlaceOfWorship|PlaceOfWorship,4797
Church,PlaceOfWorship|PlaceOfWorship,4798
CatholicChurch,Church|Church,4799
Museum,CivicStructure|CivicStructure,4800
RVPark,CivicStructure|CivicStructure,4801
Crematorium,CivicStructure|CivicStructure,4802
BoatTerminal,CivicStructure|CivicStructure,4803
PoliceStation,CivicStructure|EmergencyService|CivicStructure,4804
Aquarium,CivicStructure|CivicStructure,4805
PerformingArtsTheater,CivicStructure|CivicStructure,4806
Playground,CivicStructure|CivicStructure|AccommodationFeature|CommonArea|CommonArea,4807
Zoo,CivicStructure|CivicStructure,4808
Park,CivicStructure|CivicStructure,4809
