entity,sum_tf,parent_class,class,is_amenity,type,selected
beach,1417,,Beach,yes,same,yes
bedroom,990,Room,,no,label,yes
apartment,911,,Apartment,no,same,yes
house,800,,House,no,same,yes
bed,639,,Bed,no,same,yes
room,609,,Room,no,same,yes
garden,601,,Garden,yes,same,yes
sea,572,,SeaBodyOfWater,no,label,yes
area,548,,,yes,,no
view,543,,,yes,,no
minute,534,,,yes,,no
villa,524,House,,yes,new_class,yes
terrace,516,,Terrace,yes,same,yes
kitchen,484,,Kitchen,yes,label,yes
km,413,,,yes,,no
place,403,,,yes,,no
bathroom,378,,Bathroom,yes,same,yes
parking,320,,Parking,yes,same,yes
question,250,,,yes,,no
living,203,,,yes,,no
pool,201,,SwimmingPool,yes,label,yes
airport,200,,Airport,no,label,yes
service,189,,,yes,,no
town,186,,City,no,label,yes
distance,186,,,yes,,no
veranda,183,AmenityArea,,yes,new_class,yes
couple,172,,Couple,no,same,yes
holiday,167,,,yes,,no
location,166,,Location,no,same,yes
charge,166,,,yes,,no
floor,164,,,yes,,no
shower,162,,ShowerBath,yes,same,yes
family,157,,Family,no,same,yes
space,153,,,yes,,no
site,152,,,yes,,no
min,147,,,yes,,no
people,127,,,yes,,no
meter,127,,,yes,,no
detail,125,,,yes,,no
property,117,,,yes,,no
access,113,,,yes,,no
village,108,,City,no,label,yes
sardinia,106,,,yes,,no
air,103,,,yes,,no
guest,101,,Guest,no,same,yes
towel,98,,Towel,yes,same,yes
city,95,,City,no,same,yes
center,95,,,yes,,no
sofa,94,Furniture,,yes,new_class,yes
swimming,83,,,yes,,no
heart,83,,,yes,,no
centre,82,,,yes,,no
website,80,,,yes,,no
entrance,80,,,yes,,no
car,77,,,yes,,no
wifi,76,,Wi-FiZone,yes,label,yes
walk,76,,,yes,,no
restaurant,75,,Restaurant,yes,same,yes
price,72,,,yes,,no
cleaning,72,,HouseKeeping,yes,label,yes
sand,71,,,yes,,no
pet,67,,,yes,,no
tv,66,,Television,yes,label,yes
water,64,,,yes,,no
style,61,,,yes,,no
request,59,,,yes,,no
residence,58,,,yes,,no
nature,58,,,yes,,no
coast,57,,,yes,,no
dining,56,,,yes,,no
airbnb,55,,,yes,,no
crystal,54,,,yes,,no
table,53,,,yes,,no
person,51,,,yes,,no
century,51,,,yes,,no
suite,50,,Suite,no,same,yes
cost,50,,,yes,,no
kitchenette,49,Kitchen,,yes,new_class,yes
screen,48,,,yes,,no
step,47,,,yes,,no
position,47,,,yes,,no
island,47,,,yes,,no
bus,47,,,yes,,no
park,46,,Park,yes,same,yes
maddalena,46,,,yes,,no
hill,46,,,yes,,no
drive,44,,,yes,,no
child,44,,,yes,,no
accommodation,44,,Accommodation,no,same,yes
home,43,,,yes,,no
plan,42,,,yes,,no
balcony,41,,Terrace,yes,label,yes
rotondo,40,,,yes,,no
brand,40,,,yes,,no
ground,39,,,yes,,no
giovanni,38,,,yes,,no
group,36,Guest,,yes,new_class,no
complex,36,,,yes,,no
bianca,36,,,yes,,no
barbecue,36,AmenityArea,,yes,new_class,yes
foot,35,,,yes,,no
basis,35,,,yes,,no
patio,34,,Terrace,yes,label,yes
check,33,,,yes,,no
app,33,,,yes,,no
vegetation,32,,,yes,,no
supermarket,32,Store,,yes,new_class,yes
street,32,,,yes,,no
standard,32,,,yes,,no
road,32,,,yes,,no
flat,32,,Apartment,no,label,yes
collection,32,,,yes,,no
year,31,,,yes,,no
surcharge,30,,,yes,,no
sunset,30,,,yes,,no
comfort,30,,,yes,,no
greenery,29,,,yes,,no
cervo,29,,,yes,,no
fi,28,,,yes,,no
breakfast,28,,,yes,,no
transport,27,,,yes,,no
teresa,27,,,yes,,no
marina,27,,,yes,,no
gulf,26,,,yes,,no
torre,25,,,yes,,no
number,25,,,yes,,no
night,25,,,yes,,no
