term,pos,term_1,pos_1,tf,Entity,Named entity,entity,parent_class,class,is_amenity,type,selected,,,,
living,NOUN,room,NOUN,685,X,,living room,AmenityArea,,no,new_class,yes,,,,
sea,NOUN,view,NOUN,397,,,sea view,,,,,no,,,,
bedroom,NOUN,bathroom,NOUN,334,,,bedroom bathroom,,,,,no,,,,
swimming,NOUN,pool,NOUN,271,X,,swimming pool,,,,same,no,,,,
sofa,NOUN,bed,NOUN,247,X,,sofa bed,,,,same,no,,,,
air,NOUN,conditioning,NOUN,237,X,,air conditioning,,AirConditioning,yes,label,yes,,,,
washing,NOUN,machine,NOUN,233,X,,washing machine,HomeAppliance,,yes,new_class,yes,,,,
bathroom,NOUN,shower,NOUN,216,,,bathroom shower,,,,,no,,,,
ground,NOUN,floor,NOUN,196,,,ground floor,,,,,no,,,,
bed,NOUN,bathroom,NOUN,190,,,bed bathroom,,,,,no,,,,
table,NOUN,chair,NOUN,155,,,table chair,,,,,no,,,,
room,NOUN,kitchen,NOUN,135,,,room kitchen,,,,,no,,,,
parking,NOUN,space,NOUN,130,X,,parking space,,ParkingFacility,yes,label,yes,,,,
house,NOUN,rule,NOUN,129,X,,house rule,,,,,no,,,,
service,NOUN,charge,NOUN,125,,,service charge,,,,,no,,,,
site,NOUN,house,NOUN,125,,,site house,,,,,no,,,,
rule,NOUN,house,NOUN,125,X,,rule house,,,,,no,,,,
house,NOUN,manual,NOUN,125,X,,house manual,,,,,no,,,,
manual,NOUN,detail,NOUN,125,,,manual detail,,,,,no,,,,
view,NOUN,sea,NOUN,108,X,,view sea,,,,,no,,,,
porto,PROPN,cervo,NOUN,108,,X,porto cervo,,,,,no,,,,
room,NOUN,sofa,NOUN,106,,,room sofa,,,,,no,,,,
bar,NOUN,restaurant,NOUN,104,,,bar restaurant,,,,,no,,,,
dining,NOUN,area,NOUN,104,X,,dining area,AmenityArea,,yes,new_class,yes,,,,
kitchen,NOUN,living,NOUN,99,,,kitchen living,,,,,no,,,,
dining,NOUN,room,NOUN,99,X,,dining room,AmenityArea,,no,new_class,yes,,,,
minute,NOUN,car,NOUN,98,,,minute car,,,,,no,,,,
restaurant,NOUN,bar,NOUN,96,,,restaurant bar,,,,,no,,,,
bedroom,NOUN,apartment,NOUN,90,,,bedroom apartment,,,,,no,,,,
city,NOUN,center,NOUN,90,X,,city center,LandmarksOrHistoricalBuildings,,no,new_class,yes,,,,
bed,NOUN,linen,NOUN,90,X,,bed linen,Equipment,,yes,new_class,yes,,,,
linen,NOUN,towel,NOUN,90,X,,linen towel,BathroomAmenity,,yes,new_class,yes,,,,
airport,NOUN,km,NOUN,89,,,airport km,,,,,no,,,,
beach,NOUN,minute,NOUN,87,,,beach minute,,,,,no,,,,
kitchen,NOUN,bathroom,NOUN,85,,,kitchen bathroom,,,,,no,,,,
bunk,NOUN,bed,NOUN,84,X,,bunk bed,,BedType,no,new_individual,yes,acco:BedType,,,
beach,NOUN,km,NOUN,78,,,beach km,,,,,no,,,,
room,NOUN,kitchenette,NOUN,77,,,room kitchenette,,,,,no,,,,
