entity,service_type,parent_class,class,type,selected,Note
Entire unit wheelchair accessible,accessibility,,"AccommodationFeature, DisabledAccess",label,yes,
Visual aids,added,"AccommodationFeature, Accessibility",,new_class,yes,
Visual aids (Braille),accessibility,,"Accessibility, VisualAids",label,yes,
Upper floors accessible by stairs only,accessibility,"AccommodationFeature, Accessibility",,new_class,yes,
Lower bathroom sink,accessibility,,"AccommodationFeature, Accessibility",label,yes,
Wheelchair accessible,accessibility,,"AccommodationFeature, DisabledAccess",,no,
Upper floors accessible by elevator,accessibility,"AccommodationFeature, Accessibility",,new_class,yes,
Auditory guidance,accessibility,"AccommodationFeature, Accessibility",,new_class,yes,
Visual aids: Tactile signs,accessibility,,"Accessibility, VisualAids",label,yes,
Toilet with grab rails,accessibility,"BathRoomFacility, Toilet",,new_class,yes,
Bathroom emergency cord,accessibility,"AccommodationFeature, BathRoomFacility",,new_class,yes,
Lowered sink,accessibility,"BathRoomFacility, Sink",,new_class,yes,
Raised toilet,accessibility,"BathRoomFacility, Toilet",,new_class,yes,
Emergency cord in bathroom,accessibility,,"BathRoomFacility, BathroomEmergencyCord",label,yes,
Higher level toilet,accessibility,"BathRoomFacility, Toilet",,new_class,yes,
Entire unit located on ground floor,accessibility,"AccommodationFeature, Accessibility",,new_class,yes,
Visual aids: Braille,accessibility,,"Accessibility, VisualAids",label,no,
Visual aids (tactile signs),accessibility,,"Accessibility, VisualAids",label,yes,
Live music/performance,activities,,,,no,
Live music,added,"Service, TourDesk",,new_class,yes,
Live performance,added,"Service, TourDesk",,new_class,yes,
Karaoke,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Badminton equipment,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Nightclub/DJ,activities,,"EntertainmentBusiness, NightClub",label,yes,
Turkish/Steam Bath,activities,,"SpaCentre, TurkishBath",label,yes,
Aerobics,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Mini golf,activities,"ExternalFacility, Square",,new_class,yes,
Squash,activities,"ExternalFacility, Square",,new_class,yes,
Tennis equipment,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Locker rooms,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Stand-up comedy,activities,,,,no,
Tennis court,activities,"Square, TennisSquare",,,no,
Games room,activities,,"InternalFacility, GameRoom",label,yes,
Archery,activities,"AccommodationFeature, InternalFacility",,,yes,
Water park,activities,"CivicStructure, Park",,new_class,yes,
Horseback riding,activities,"AccommodationFeature, ExternalFacility",,new_class,yes,
Golf course (within 2 miles),activities,,,,no,
Game room,activities,,"InternalFacility, GameRoom",same,no,
Golf course (within 3 km),activities,,,,no,
Walking tours,activities,"Service, TourDesk",,new_class,yes,
Themed dinner nights,activities,"Service, TourDesk",,new_class,yes,
Movie nights,activities,"Service, TourDesk",,new_class,yes,
Pub crawls,activities,"Service, TourDesk",,new_class,yes,
Fishing,activities,"Service, TourDesk",,new_class,yes,
Bike tours,activities,"Service, TourDesk",,new_class,yes,
Kids' club,activities,,"InternalFacility, KidsClub",label,yes,
Sauna,activities,,"SpaCentre, Sauna",same,no,
Hot tub/jacuzzi,activities,,"SpaCentre, HydromassageJacuzzi",label,no,
Hot tube,added,,"SpaCentre, HydromassageJacuzzi",label,yes,
Live music/Performance,activities,,,,no,
Fitness center,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Bingo,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Table tennis,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Hot tub,activities,,"SpaCentre, HydromassageJacuzzi",label,yes,
Bikes available (free),activities,"AccommodationFeature, ExternalFacility",,new_class,yes,
Themed dinners,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Racquetball,activities,"ExternalFacility, Square",,new_class,yes,
Happy hour,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Tour or class about local culture,activities,"Service, TourDesk",,new_class,yes,
Temporary art galleries,activities,"EntertainmentBusiness, ArtGallery",,new_class,yes,
Canoeing,activities,"Service, TourDesk",,new_class,yes,
Darts,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Evening entertainment,activities,"Service, TourDesk",,new_class,yes,
Billiards,activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Live sports events (broadcast),activities,"AccommodationFeature, InternalFacility",,new_class,yes,
Pool table,activities,,"InternalFacility, Billiards",label,yes,
