entity,parent_class,class,is_amenity,type,selected,,
‘Ruark’ deluxe Bluetooth radio Bluetooth sound system,,Radio,yes,label,yes,,
"44"" HDTV",,Television,yes,label,yes,,
Air conditioning,,AirConditioning,yes,same,yes,,
Allow stay for 28 days or more,,LongTermStaysAllowed,yes,label,no,,
Amazon Prime Video,,Pay-Per-ViewChannels,yes,label,yes,,
Backyard,AmenityArea,,yes,new_class,yes,,
An open space on the property usually covered in grass,,Backyard,yes,label,yes,,
Dryer,,,,same,no,,
Baby bath,BathroomAmenity,,yes,new_class,yes,,
Game console,,,,same,no,,
Baby monitor,ChildCare,,yes,new_class,yes,,
Baby safety gates,ChildCare,,yes,new_class,yes,,
Babysitter recommendations,,Babysitting,yes,label,yes,,
Dishwasher,,Dishwasher,,same,no,,
Baking sheet,Kitchenware,,yes,new_class,yes,,
Barbecue utensils,Equipment,,yes,new_class,yes,,
Bidet,,Bidet,,same,no,,
Bathtub,BathroomAmenity,,yes,new_class,yes,,
BBQ grill,,Barbecue,yes,label,yes,,
Bed linens,,BedLinen,yes,label,yes,,
bed sheets,,BedLinen,yes,label,yes,,
Pets allowed - Assistance animals are always allowed,,,,,no,,da mappare su una proprietà acco:petsAllowed
Blender,HomeAppliance,,yes,new_class,yes,,
Board games,,BoardGamesPuzzles,yes,label,yes,,
Soap,HygieneProducts,,yes,new_class,yes,,
Body soap,Soap,,yes,new_class,yes,,
Shampoo,Soap,,yes,new_class,yes,,
Bosch refrigerator,,Refrigerator,yes,label,yes,,
Bread maker,HomeAppliance,,yes,new_class,yes,,
Building staff - Someone is available 24 hours a day to let guests in,,Reception,,label,no,,
Carbon monoxide alarm,,CarbonMonoxideDetector,yes,label,yes,,
Ceiling fan,,Fan,yes,label,yes,,
Central air conditioning,,AirConditioning,yes,label,yes,,
Central heating,,HeatingSystem,yes,same,yes,,
Changing table,ChildCare,,yes,new_class,yes,,
Keypad,SafetyAndSecurity,,yes,new_class,yes,,
Check yourself into the home with a door code,,Keypad,yes,label,yes,,
Refrigerator,,Refrigerator,,same,no,,
Children books and toys,ChildCare,,yes,new_class,yes,,
Children’s dinnerware,ChildCare,,yes,new_class,yes,,
Cleaning products,,HygieneProducts,yes,label,yes,,
Clothing storage,Furniture,,yes,new_class,yes,,
Closet,ClothingStorage,,yes,new_class,yes,,
