entity,service_type,parent_class,class,is_amenity,type,selected,,,,Note
English,,SpokenLanguage,,yes,new_class,yes,,,,
Spanish,,SpokenLanguage,,yes,new_class,yes,,,,
French,,SpokenLanguage,,yes,new_class,yes,,,,
Italian,,SpokenLanguage,,yes,new_class,yes,,,,
Arabic,,SpokenLanguage,,yes,new_class,yes,,,,
Portuguese,,SpokenLanguage,,yes,new_class,yes,,,,
Russian,,SpokenLanguage,,yes,new_class,yes,,,,
Polish,,SpokenLanguage,,yes,new_class,yes,,,,
Romanian,,SpokenLanguage,,yes,new_class,yes,,,,
German,,SpokenLanguage,,yes,new_class,yes,,,,
Hungarian,,SpokenLanguage,,yes,new_class,yes,,,,
Greek,,SpokenLanguage,,yes,new_class,yes,,,,
Stove,,HomeAppliance,,yes,new_class,yes,Used to support prerequisite,,,
Stovetop,,Stove,,yes,new_class,yes,,,,
Tea/Coffee maker,,Equipment,,yes,new_class,yes,,,,
Invoice provided,,Service,,yes,new_class,yes,,,,
Bath or shower,,BathroomAmenity,,yes,new_class,yes,,,,
Clothing Storage,,Furniture,,yes,new_class,yes,Used to support prerequisite,,,
Wardrobe or closet,,,ClothingStorage,yes,label,yes,,,,
Electric kettle,,Kettle,,yes,new_class,yes,,,,
Bed Linen,,Equipment,,yes,label,yes,Used to support prerequisite,,,
Linen,,,BedLinen,yes,label,yes,,,,
Towels,,,Towel,yes,label,yes,,,,
Non-smoking throughout,safety_e_security,SafetyAndSecurity,,yes,new_class,yes,,,,
Disabled access,accessibility,Accessibility,,yes,new_class,yes,,,,
Entire unit wheelchair accessible,accessibility,,DisabledAccess,yes,label,yes,DisabledAccess,,,
Visual aids,added,Accessibility,,yes,new_class,yes,,,,
Visual aids (Braille),accessibility,,VisualAids,yes,label,yes,VisualAids,,,
Upper floors accessible by stairs only,accessibility,Accessibility,,yes,new_class,yes,,,,
Lower bathroom sink,accessibility,,Accessibility,yes,label,yes,Accessibility,,,
Wheelchair accessible,accessibility,,DisabledAccess,,,no,DisabledAccess,,,
Upper floors accessible by elevator,accessibility,Accessibility,,yes,new_class,yes,,,,
Auditory guidance,accessibility,Accessibility,,yes,new_class,yes,,,,
Visual aids: Tactile signs,accessibility,,VisualAids,yes,label,yes,VisualAids,,,
